battery_id,manufacturer,chemistry,capacity_kWh,charge_cycles,avg_temp_celsius,discharge_rate_c,charge_rate_c,avg_soc_percent,storage_time_months,fast_charge_ratio,calendar_age_years,capacity_retained_percent
BAT009840,BYD,NCA,78.3,,23.58,0.76,1.139,61.24,1.7,,1.35,88.36
BAT009681,LG Chem,NMC,59.81,354.0,20.49,1.168,1.093,50.88,7.0,0.047,0.18,96.6
BAT007094,Tesla,NMC,40.0,819.0,18.96,1.45,0.671,67.52,0.2,0.25,0.77,88.8
BAT011294,BYD,LFP,65.86,705.0,27.54,0.5,1.382,72.51,5.4,0.067,3.23,88.94
BAT000821,BYD,NMC,113.81,587.0,39.13,0.637,0.5,,1.2,0.373,1.16,88.4
BAT001644,CATL,NMC,97.49,2373.0,20.77,2.05,1.393,37.49,11.2,0.169,0.61,72.4
BAT007220,Samsung SDI,NCA,85.35,472.0,22.79,1.795,0.939,,2.0,0.057,0.1,96.35
BAT012122,LG Chem,NMC,86.55,479.0,35.08,0.5,1.179,63.66,1.7,,0.47,89.35
BAT002632,CATL,NMC,107.93,,24.74,0.5,,71.49,4.8,0.023,1.53,91.5
BAT000108,BYD,NMC,75.98,282.0,29.55,0.5,0.651,67.77,17.1,,1.54,91.14
BAT010331,BYD,NMC,83.37,580.0,21.43,2.229,0.766,51.51,2.2,0.038,0.91,93.49
BAT000368,Samsung SDI,NMC,72.99,1141.0,18.66,0.5,1.265,53.5,0.1,0.359,2.2,81.72
BAT008797,Tesla,NMC,98.7,529.0,24.16,0.522,0.793,66.57,1.1,0.311,0.5,92.85
BAT000417,Panasonic,NMC,71.43,542.0,31.01,0.619,,66.2,1.4,0.249,,85.2
BAT002421,Tesla,NCA,77.77,612.0,26.73,1.448,0.883,76.27,4.2,0.342,6.82,80.56
BAT000730,Tesla,NMC,42.2,1032.0,28.01,1.162,0.5,70.45,10.5,0.293,0.1,84.57
BAT006875,BYD,NMC,85.42,586.0,22.82,1.531,1.234,58.55,8.7,0.115,1.04,89.92
BAT009994,BYD,NMC,89.39,499.0,17.09,0.5,0.708,66.58,11.3,0.188,0.99,90.29
BAT008605,LG Chem,NMC,92.43,726.0,27.45,0.5,0.5,49.02,1.3,0.096,0.52,92.02
BAT003560,LG Chem,NCA,76.77,1857.0,23.03,0.583,1.242,30.39,4.6,0.247,1.43,71.45
BAT006038,BYD,,73.8,1693.0,22.85,0.613,1.719,57.22,6.4,0.525,0.33,79.24
BAT009841,BYD,NMC,82.53,853.0,32.7,1.089,0.545,35.85,2.8,0.783,4.37,76.78
BAT006209,LG Chem,NMC,44.26,505.0,11.52,0.783,1.066,56.38,5.8,0.215,1.53,
BAT002389,CATL,LFP,85.69,1355.0,31.36,0.522,0.809,60.48,1.1,0.764,,79.41
BAT005563,,NMC,65.16,148.0,49.24,1.391,0.769,51.8,0.3,0.507,1.06,84.61
BAT003434,LG Chem,LFP,90.12,519.0,35.43,0.5,1.348,14.83,2.9,0.141,3.53,87.64
BAT010499,Panasonic,LFP,100.06,689.0,31.61,1.44,0.978,40.68,,0.195,0.86,87.7
BAT008441,Panasonic,NCA,72.79,575.0,18.13,1.459,1.27,34.73,8.5,0.552,0.1,87.51
BAT006750,LG Chem,NMC,,746.0,25.36,1.13,0.896,67.36,0.5,0.148,0.76,89.75
BAT014762,Samsung SDI,NMC,70.97,859.0,27.9,1.451,0.691,34.74,4.3,0.199,0.26,89.79
BAT000511,CATL,NMC,69.41,557.0,24.53,1.161,0.939,77.38,2.3,0.158,1.04,88.36
BAT000701,CATL,NMC,86.47,528.0,25.13,1.446,1.181,,13.0,,4.45,87.27
BAT004027,LG Chem,NMC,74.25,611.0,37.44,,0.765,50.48,2.4,0.407,,86.75
BAT011137,Panasonic,LFP,92.05,1393.0,28.39,1.088,1.472,33.01,0.4,0.34,,83.17
BAT002629,LG Chem,LFP,65.85,235.0,29.17,1.154,0.875,,4.3,0.659,3.26,87.15
BAT003681,BYD,NMC,85.45,684.0,14.68,0.5,0.876,90.0,,0.223,0.33,90.63
BAT001278,Samsung SDI,NMC,69.55,541.0,28.37,1.201,0.5,25.13,0.8,0.062,0.1,92.07
BAT005229,Tesla,,83.69,224.0,35.52,0.5,0.523,37.97,4.3,0.098,0.58,
BAT002031,Tesla,NMC,,467.0,9.07,1.328,1.125,59.36,10.8,0.497,0.11,92.97
BAT006226,CATL,NCA,65.18,460.0,33.52,1.384,0.772,43.25,12.6,0.11,4.0,86.17
BAT000040,LG Chem,NMC,75.97,356.0,29.37,0.798,1.278,64.1,0.3,0.042,0.6,99.67
BAT001892,LG Chem,NMC,104.26,700.0,,0.5,1.028,65.88,0.2,0.348,0.8,85.19
BAT007214,LG Chem,LFP,50.86,,25.18,1.635,1.399,34.43,7.3,0.128,,94.31
BAT004787,BYD,NMC,62.44,433.0,16.45,1.612,1.018,70.86,0.3,0.234,0.88,91.07
BAT003423,BYD,LFP,72.89,858.0,13.39,1.182,0.853,80.48,2.9,0.003,,87.74
BAT007733,Tesla,NMC,49.47,414.0,15.59,0.5,,71.27,3.3,0.361,6.11,87.12
BAT009754,BYD,NMC,40.0,731.0,21.3,0.934,0.897,53.6,0.9,0.418,4.5,79.31
BAT009585,Samsung SDI,NMC,70.56,887.0,33.42,1.311,0.884,48.63,8.9,0.364,1.31,85.53
BAT002981,LG Chem,NMC,56.51,525.0,17.51,1.234,0.508,,5.5,0.275,1.36,88.8
BAT009631,Tesla,NMC,88.13,249.0,27.49,0.5,0.976,55.43,1.1,0.646,0.84,92.65
BAT013064,Samsung SDI,NMC,82.6,688.0,24.29,0.5,1.05,57.0,2.7,0.155,1.53,91.58
BAT001304,CATL,NMC,77.61,813.0,35.0,0.95,1.348,64.22,0.5,0.097,7.16,76.48
BAT011515,BYD,NMC,,336.0,26.62,0.695,0.751,44.8,9.5,0.224,0.88,95.25
BAT007712,Panasonic,NMC,84.16,750.0,20.13,0.973,0.5,43.74,6.0,,2.84,85.85
BAT007473,BYD,NCA,91.63,1294.0,38.52,1.732,1.117,41.99,,0.104,5.43,73.76
BAT000347,CATL,NMC,48.42,516.0,25.67,0.5,0.821,60.91,2.3,0.237,1.2,90.23
BAT007378,LG Chem,NMC,62.79,706.0,46.3,0.5,1.0,61.4,9.1,0.166,0.17,83.35
BAT008778,Panasonic,NMC,81.6,255.0,,0.615,1.131,,0.3,0.154,3.24,91.5
BAT010689,BYD,NMC,56.9,807.0,37.6,1.868,1.458,36.94,6.6,0.223,0.38,83.56
BAT000475,LG Chem,NMC,66.63,744.0,30.57,1.396,1.586,44.21,0.1,0.246,3.62,86.28
BAT004401,Tesla,LFP,108.81,726.0,19.27,1.296,0.5,59.77,0.6,0.184,0.86,88.83
BAT008951,,NCA,81.8,1350.0,34.47,1.154,,,1.5,0.163,2.4,73.11
BAT006067,LG Chem,LFP,99.7,1528.0,19.9,0.73,0.5,62.18,0.1,0.345,3.56,80.28
BAT010609,BYD,LFP,77.05,490.0,32.6,,,51.72,,0.106,0.36,93.53
BAT009799,LG Chem,LFP,69.44,837.0,23.05,0.5,0.615,35.98,0.3,0.521,4.43,83.94
BAT000323,CATL,NMC,92.14,669.0,-5.02,1.043,0.519,51.36,0.3,0.048,1.82,89.8
BAT014196,Tesla,NMC,79.58,275.0,20.86,,0.5,61.94,2.7,0.051,1.36,
BAT010507,LG Chem,LFP,55.33,564.0,15.13,1.085,1.477,61.65,,0.349,3.93,85.89
BAT007878,LG Chem,LFP,61.65,830.0,26.57,1.399,1.278,,0.6,0.184,1.04,87.89
