iter	RMSE
0	5.574939428
1	5.386298863
2	5.21115797
3	5.058710515
4	4.926446139
5	4.818512336
6	4.715860693
7	4.625341
8	4.540839414
9	4.470526177
10	4.411310165
11	4.356978745
12	4.307152193
13	4.262608792
14	4.225379166
15	4.19179723
16	4.158675698
17	4.129166393
18	4.105513623
19	4.081256774
20	4.0579797
21	4.038737663
22	4.021098608
23	4.006736268
24	3.990665525
25	3.980908861
26	3.968706838
27	3.956764509
28	3.947003694
29	3.938918641
30	3.932263379
31	3.925610608
32	3.918921525
33	3.912443048
34	3.906718595
35	3.899319135
36	3.894237141
37	3.89004582
38	3.884478206
39	3.879750402
40	3.876815299
41	3.873119753
42	3.869236905
43	3.865826733
44	3.862374067
45	3.859769655
46	3.857105971
47	3.854407337
48	3.852219252
49	3.848969396
50	3.847036072
51	3.845178253
52	3.841922117
53	3.838169235
54	3.83495714
55	3.832270748
56	3.829154108
57	3.826985184
58	3.823730525
59	3.820112524
60	3.817306487
61	3.815546346
62	3.81339179
63	3.810605585
64	3.809433052
65	3.80803216
66	3.803318007
67	3.801772337
68	3.799295064
69	3.797891383
70	3.79541369
71	3.792384495
72	3.790290103
73	3.788879203
74	3.787655192
75	3.786594165
76	3.784913245
77	3.782191968
78	3.780444503
79	3.777194243
80	3.776469855
81	3.77555783
82	3.773185118
83	3.770448391
84	3.765776153
85	3.76391376
86	3.761369474
87	3.759309778
88	3.75773076
89	3.754763074
90	3.753629863
91	3.752183865
92	3.750509375
93	3.746435306
94	3.744012188
95	3.741369778
96	3.738424778
97	3.735842595
98	3.733965284
99	3.731949124
