iter	Passed	Remaining
0	126	12555
1	131	6455
2	136	4401
3	140	3371
4	144	2751
5	149	2336
6	153	2038
7	157	1815
8	162	1638
9	166	1500
10	171	1383
11	175	1285
12	179	1200
13	183	1126
14	187	1063
15	191	1007
16	196	957
17	200	913
18	204	873
19	209	837
20	213	803
21	218	774
22	222	744
23	226	717
24	231	693
25	235	669
26	239	647
27	243	626
28	247	607
29	252	589
30	256	571
31	261	554
32	265	538
33	269	523
34	274	509
35	278	494
36	282	481
37	286	468
38	291	455
39	295	443
40	299	431
41	304	420
42	308	409
43	313	399
44	318	389
45	322	378
46	326	368
47	330	358
48	335	349
49	339	339
50	343	330
51	348	321
52	352	312
53	356	303
54	360	295
55	365	286
56	369	278
57	373	270
58	378	262
59	382	254
60	386	247
61	391	239
62	395	232
63	399	224
64	403	217
65	407	210
66	412	202
67	416	195
68	420	188
69	424	181
70	428	175
71	433	168
72	437	161
73	441	155
74	445	148
75	449	142
76	454	135
77	458	129
78	462	122
79	467	116
80	471	110
81	475	104
82	479	98
83	483	92
84	488	86
85	492	80
86	496	74
87	501	68
88	505	62
89	509	56
90	513	50
91	518	45
92	522	39
93	526	33
94	530	27
95	534	22
96	539	16
97	543	11
98	547	5
99	551	0
