iter	RMSE
0	5.818263226
1	5.652583372
2	5.511330317
3	5.388937334
4	5.291708801
5	5.194487337
6	5.106183914
7	5.03102966
8	4.962536757
9	4.898985545
10	4.844842644
11	4.79231567
12	4.748658056
13	4.70376435
14	4.665513574
15	4.630354924
16	4.598814263
17	4.567115323
18	4.540301248
19	4.515054953
20	4.494561778
21	4.477061619
22	4.455719422
23	4.437766642
24	4.420513346
25	4.400493482
26	4.385684714
27	4.376217579
28	4.365111852
29	4.353149988
30	4.341753732
31	4.331258162
32	4.321999776
33	4.307317161
34	4.295324217
35	4.287533141
36	4.280522208
37	4.272820934
38	4.265780262
39	4.260600864
40	4.251587675
41	4.24359369
42	4.239257347
43	4.235298343
44	4.231165139
45	4.227820685
46	4.221310806
47	4.214585823
48	4.211199632
49	4.207148975
50	4.203765359
51	4.201419113
52	4.198573258
53	4.193422144
54	4.189275842
55	4.186698147
56	4.184189799
57	4.181811233
58	4.177996165
59	4.175035487
60	4.172581594
61	4.170995723
62	4.168580199
63	4.166268927
64	4.165014834
65	4.163794772
66	4.162009543
67	4.160825996
68	4.159636496
69	4.158218129
70	4.15614421
71	4.153968803
72	4.152726711
73	4.150723299
74	4.149114166
75	4.147543263
76	4.146254013
77	4.145006468
78	4.143471304
79	4.142461498
80	4.140989173
81	4.139971946
82	4.138410031
83	4.136990672
84	4.136026715
85	4.135268945
86	4.134083326
87	4.133012941
88	4.132262988
89	4.131644952
90	4.130593846
91	4.129549449
92	4.128721637
93	4.127900541
94	4.126425506
95	4.12576325
96	4.123712962
97	4.121205703
98	4.120603651
99	4.118936052
