iter	Passed	Remaining
0	111	11085
1	115	5675
2	119	3871
3	124	2976
4	127	2430
5	132	2068
6	135	1805
7	139	1607
8	144	1456
9	147	1330
10	151	1228
11	155	1138
12	158	1061
13	162	995
14	166	941
15	169	891
16	173	846
17	177	806
18	180	770
19	184	738
20	188	709
21	192	682
22	196	657
23	199	632
24	203	609
25	207	589
26	210	570
27	214	551
28	218	534
29	221	517
30	225	501
31	229	486
32	233	473
33	236	460
34	240	446
35	244	434
36	247	422
37	251	410
38	254	398
39	258	387
40	261	376
41	265	366
42	269	357
43	273	348
44	277	339
45	281	330
46	284	321
47	288	312
48	291	303
49	295	295
50	298	287
51	302	279
52	306	271
53	309	263
54	313	256
55	316	249
56	320	241
57	324	234
58	327	227
59	331	220
60	334	213
61	337	207
62	341	200
63	344	194
64	348	187
65	351	181
66	355	174
67	358	168
68	362	162
69	365	156
70	368	150
71	372	144
72	375	138
73	379	133
74	382	127
75	385	121
76	389	116
77	392	110
78	396	105
79	399	99
80	402	94
81	406	89
82	409	83
83	413	78
84	416	73
85	420	68
86	423	63
87	426	58
88	430	53
89	433	48
90	437	43
91	440	38
92	443	33
93	447	28
94	450	23
95	453	18
96	456	14
97	460	9
98	463	4
99	467	0
